input:input:Bucket Sort: A total of 100 groups, data volume: 505000
42 group,  Data volume: 4200 0.655 ms  Data Accept.       Accuracy: 100.000%.
43 group,  Data volume: 4300 0.900 ms  Data Accept.       Accuracy: 100.000%.
44 group,  Data volume: 4400 0.906 ms  Data Accept.       Accuracy: 100.000%.
45 group,  Data volume: 4500 1.091 ms  Data Accept.       Accuracy: 100.000%.
46 group,  Data volume: 4600 0.747 ms  Data Accept.       Accuracy: 100.000%.
47 group,  Data volume: 4700 0.743 ms  Data Accept.       Accuracy: 100.000%.
48 group,  Data volume: 4800 0.719 ms  Data Accept.       Accuracy: 100.000%.
49 group,  Data volume: 4900 0.866 ms  Data Accept.       Accuracy: 100.000%.
50 group,  Data volume: 5000 0.708 ms  Data Accept.       Accuracy: 100.000%.
51 group,  Data volume: 5100 0.706 ms  Data Accept.       Accuracy: 100.000%.
52 group,  Data volume: 5200 0.673 ms  Data Accept.       Accuracy: 100.000%.
53 group,  Data volume: 5300 0.734 ms  Data Accept.       Accuracy: 100.000%.
54 group,  Data volume: 5400 1.087 ms  Data Accept.       Accuracy: 100.000%.
55 group,  Data volume: 5500 0.718 ms  Data Accept.       Accuracy: 100.000%.
56 group,  Data volume: 5600 0.721 ms  Data Accept.       Accuracy: 100.000%.
57 group,  Data volume: 5700 0.733 ms  Data Accept.       Accuracy: 100.000%.
58 group,  Data volume: 5800 0.794 ms  Data Accept.       Accuracy: 100.000%.
59 group,  Data volume: 5900 0.839 ms  Data Accept.       Accuracy: 100.000%.
60 group,  Data volume: 6000 1.180 ms  Data Accept.       Accuracy: 100.000%.
61 group,  Data volume: 6100 1.193 ms  Data Accept.       Accuracy: 100.000%.
62 group,  Data volume: 6200 0.921 ms  Data Accept.       Accuracy: 100.000%.
63 group,  Data volume: 6300 0.941 ms  Data Accept.       Accuracy: 100.000%.
64 group,  Data volume: 6400 0.807 ms  Data Accept.       Accuracy: 100.000%.
65 group,  Data volume: 6500 0.861 ms  Data Accept.       Accuracy: 100.000%.
66 group,  Data volume: 6600 0.823 ms  Data Accept.       Accuracy: 100.000%.
67 group,  Data volume: 6700 0.826 ms  Data Accept.       Accuracy: 100.000%.
68 group,  Data volume: 6800 0.873 ms  Data Accept.       Accuracy: 100.000%.
69 group,  Data volume: 6900 0.852 ms  Data Accept.       Accuracy: 100.000%.
70 group,  Data volume: 7000 1.728 ms  Data Accept.       Accuracy: 100.000%.
71 group,  Data volume: 7100 1.004 ms  Data Accept.       Accuracy: 100.000%.
72 group,  Data volume: 7200 0.962 ms  Data Accept.       Accuracy: 100.000%.
73 group,  Data volume: 7300 0.919 ms  Data Accept.       Accuracy: 100.000%.
